YEAR,SEASON,TAVG,TMAX,TMIN,TEMP_CHANGE
2013,Autumn,26.0,37.2,11.1,26.1
2013,Spring,22.2,35.6,8.3,27.3
2013,Summer,27.9,39.4,16.1,23.3
2013,Winter,16.7,32.2,1.1,31.1
2014,Autumn,26.7,37.8,14.4,23.4
2014,Spring,20.8,36.7,3.9,32.8
2014,Summer,28.4,39.4,17.2,22.2
2014,Winter,17.9,31.7,0.6,31.1
2015,Autumn,25.8,33.9,19.4,14.5
2015,Spring,18.3,34.4,7.2,27.2
2015,Summer,29.0,40.0,22.8,17.2
2015,Winter,16.4,27.2,3.3,23.9
2016,Autumn,27.1,36.7,16.7,20.0
2016,Spring,24.7,36.7,12.8,23.9
2016,Summer,29.1,38.9,18.3,20.6
2016,Winter,17.8,31.7,2.8,28.9
2017,Autumn,26.5,35.0,16.7,18.3
2017,Spring,21.0,32.8,10.6,22.2
2017,Summer,27.2,38.3,15.0,23.3
2017,Winter,18.0,28.9,10.0,18.9
2018,Autumn,26.2,38.3,16.7,21.6
2018,Spring,21.7,34.4,3.3,31.1
2018,Summer,27.7,40.0,20.6,19.4
2018,Winter,13.8,30.6,1.1,29.5
2019,Autumn,26.8,38.3,11.7,26.6
2019,Spring,24.1,38.3,11.7,26.6
2019,Summer,28.7,41.1,18.9,22.2
2019,Winter,19.7,30.6,0.0,30.6
2020,Autumn,27.8,37.2,18.9,18.3
2020,Spring,21.5,34.4,11.1,23.3
2020,Summer,29.8,38.9,22.2,16.7
2020,Winter,19.5,30.6,8.3,22.3
2021,Autumn,25.9,39.4,13.9,25.5
2021,Spring,23.5,36.1,12.2,23.9
2021,Summer,28.5,40.0,19.4,20.6
2021,Winter,15.6,30.6,3.3,27.3
2022,Autumn,28.1,37.2,18.9,18.3
2022,Spring,20.8,36.1,4.4,31.7
2022,Summer,28.2,44.4,13.9,30.5
2022,Winter,17.5,27.8,8.3,19.5
2023,Autumn,27.2,35.6,17.2,18.4
2023,Spring,24.2,37.8,11.1,26.7
2023,Summer,29.0,39.4,20.6,18.8
2023,Winter,19.8,32.8,4.4,28.4
2024,Autumn,27.7,37.2,20.0,17.2
2024,Spring,23.9,40.6,7.2,33.4
2024,Summer,27.8,38.9,18.3,20.6
2024,Winter,16.3,30.6,3.9,26.7
